source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,country,jurisdiction,language,document_type,authority_level,license_note,license_url,local_path,answerable,manually_verified,review_status,parser_version,checksum,notes,data_class,source_type,actually_downloaded,contains_personal_data,minimization_rule,translation_provider,translation_model,translation_version
SRC-OFFICIAL-CN-BJ-009,住宅小区屋面防水应急维修工作通知,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743671809/index.shtml,北京市住房和城乡建设委员会,2024-07-24,2026-08-10,当前公开文本,2024-07-24,,现行政策文件,CN,北京市,zh-CN,rain_leak_emergency,local_policy,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743671809/index.shtml,official/china/beijing/src-official-cn-bj-009.html,true,true,approved,html-structured-v2,20bf0766c1434a2d545a66cc75e8a61913c82da102a50c439d551ce9721b06bb,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-010,汛情受损住宅专项维修资金应急使用通知,https://gjj.beijing.gov.cn/web/zwgk61/2024zcwj/436433464/436433468/743678786/index.html,北京住房公积金管理中心,2025-08-01,2026-08-10,当前公开文本,2025-08-01,,现行政策文件,CN,北京市,zh-CN,flood_maintenance_fund,local_policy,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://gjj.beijing.gov.cn/web/zwgk61/2024zcwj/436433464/436433468/743678786/index.html,official/china/beijing/src-official-cn-bj-010.html,true,true,approved,html-structured-v2,506df39efd757f7e53b2bfd8dc1caec32785e62a1b148a81d208282bdbd1b454,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-011,北京市物业服务合同示范文本,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468220/index.shtml,北京市住房和城乡建设委员会、北京市市场监督管理局,2022-08-12,2026-08-10,2022版示范文本,2022-09-01,,现行示范文本,CN,北京市,zh-CN,property_service_contract_template,official_template,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468220/index.shtml,official/china/beijing/src-official-cn-bj-011.html,true,true,approved,html-structured-v2,86307cb830ffeb3a55cc2a620b2a042e0fb7f60b19f7aa77cf7004816ed40a0a,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-012,北京市住宅区业主管理规约示范文本,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468215/index.shtml,北京市住房和城乡建设委员会,2022-08-12,2026-08-10,2022版示范文本,2022-09-01,,现行示范文本,CN,北京市,zh-CN,management_convention_template,official_template,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468215/index.shtml,official/china/beijing/src-official-cn-bj-012.html,true,true,approved,html-structured-v2,5bbe15acd9da4dc2780cdeb3cee55217935740c1527e057a85c566fd30be7c78,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-013,北京市物业管理委员会组建办法,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468187/index.shtml,北京市住房和城乡建设委员会,2021-03-19,2026-08-10,京建发〔2021〕53号,2021-03-19,,现行政策文件,CN,北京市,zh-CN,property_management_committee,local_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468187/index.shtml,official/china/beijing/src-official-cn-bj-013.html,true,true,approved,html-structured-v2,5df74a03bc37ba6e2d2a84b4562246f3c97dedf0c33b5153488b59a456f8d2f3,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-014,物业服务企业劝阻、制止、报告工作台账和示范文本,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436459816/index.shtml,北京市住房和城乡建设委员会,2020-07-31,2026-08-10,官方示范文本,2020-07-31,,现行工作指引,CN,北京市,zh-CN,dissuade_stop_report_ledger,official_template,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436459816/index.shtml,official/china/beijing/src-official-cn-bj-014.html,true,true,approved,html-structured-v2,1992bec1fa9625055d4907bf2d999b1e8e82fe646625302d11720471365077fc,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-015,北京市物业管理区域安全生产自查表,https://zjw.beijing.gov.cn/bjjs/fwgl/wyglxx/wyglxx/53592936/2020010313585259864.pdf,北京市住房和城乡建设委员会,2019-04-26,2026-08-10,京建发〔2019〕172号附件,2019-04-26,,现行工作指引,CN,北京市,zh-CN,property_safety_ledger,official_guide,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/fwgl/wyglxx/wyglxx/53592936/2020010313585259864.pdf,official/china/beijing/src-official-cn-bj-015.pdf,false,false,pending,pdf-structured-v2,,"同步失败：HTTPStatusError: Client error '404 Not Found' for url 'https://zjw.beijing.gov.cn/bjjs/fwgl/wyglxx/wyglxx/53592936/2020010313585259864.pdf'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",KB_POLICY,official_public_document,false,false,,,,
SRC-OFFICIAL-CN-BJ-016,住宅装修擅自变动建筑主体和承重结构执法工作通知,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/543339801/index.shtml,北京市住房和城乡建设委员会等,2023-06-09,2026-08-10,京建发〔2023〕182号,2023-06-09,,现行政策文件,CN,北京市,zh-CN,structural_alteration_enforcement,local_policy,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/543339801/index.shtml,official/china/beijing/src-official-cn-bj-016.html,true,true,approved,html-structured-v2,12a184d95be20e7e5073b019bb0ba4630a36dcdd2f88110b2ac9c1f95a3d0b6a,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-017,北京市禁止违法建设若干规定,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/szfl/202010/t20201030_2125883.html,北京市人民政府,2020-10-30,2026-08-10,北京市人民政府令第295号,2020-11-15,,现行有效,CN,北京市,zh-CN,illegal_construction,local_government_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/szfl/202010/t20201030_2125883.html,official/china/beijing/src-official-cn-bj-017.html,true,true,approved,html-structured-v2,02f0d5bad1cc24176206ad76613e409ac8c5fa733348e8b1d62ab7c1e68b70bd,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-018,北京市房屋建筑使用安全条例,https://www.beijing.gov.cn/zhengce/dfxfg/202512/t20251203_4318928.html,北京市人民代表大会常务委员会,2025-11-28,2026-08-10,2025年公布文本,2026-03-01,,现行有效,CN,北京市,zh-CN,building_use_safety,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202512/t20251203_4318928.html,official/china/beijing/src-official-cn-bj-018.html,true,true,approved,html-structured-v2,ccda5bca211d938d38df2877aa03d9432d704a2dcaa0dd3026a89c00205d7ecf,,KB_POLICY,official_public_document,true,false,,,,
