source_no,source_url,allowed_host,allowed_redirect_hosts,expected_mime,expected_signature,min_bytes,max_bytes,destination
SRC-OFFICIAL-CN-BJ-027,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436459838/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-027.html
SRC-OFFICIAL-CN-BJ-028,https://www.beijing.gov.cn/zhengce/dfxfg/202404/t20240401_3607248.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-028.html
SRC-OFFICIAL-CN-BJ-029,https://csglw.beijing.gov.cn/zwxx/2024zcwj/202405/t20240517_3687034.html,csglw.beijing.gov.cn,csglw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-029.html
SRC-OFFICIAL-CN-BJ-030,https://www.beijing.gov.cn/zhengce/dfxfg/201905/t20190522_56547.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-030.html
SRC-OFFICIAL-CN-BJ-031,https://www.beijing.gov.cn/zhengce/dfxfg/202008/t20200805_1974790.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-031.html
SRC-OFFICIAL-CN-BJ-032,https://www.beijing.gov.cn/zhengce/dfxfg/202111/t20211103_2527864.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-032.html
SRC-OFFICIAL-CN-BJ-033,https://www.beijing.gov.cn/zhengce/zhengcefagui/202011/t20201105_2129024.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-033.html
SRC-OFFICIAL-CN-BJ-034,https://yjglj.beijing.gov.cn/art/2025/4/15/art_2522_687454.html,yjglj.beijing.gov.cn,yjglj.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-034.html
SRC-OFFICIAL-CN-BJ-035,https://yjglj.beijing.gov.cn/art/2025/6/30/art_2522_687728.html,yjglj.beijing.gov.cn,yjglj.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-035.html
SRC-OFFICIAL-CN-BJ-036,https://yjglj.beijing.gov.cn/art/2025/6/30/art_2522_687722.html,yjglj.beijing.gov.cn,yjglj.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-036.html
SRC-OFFICIAL-CN-BJ-037,https://gdb.beijing.gov.cn/rf_zwgk/2024zcwj/2024_flfg/202405/t20240530_3699280.html,gdb.beijing.gov.cn,gdb.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-037.html
SRC-OFFICIAL-CN-BJ-038,https://yjglj.beijing.gov.cn/art/2024/12/10/art_2522_684450.html,yjglj.beijing.gov.cn,yjglj.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-038.html
SRC-OFFICIAL-CN-BJ-039,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202407/t20240701_3734559.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-039.html
SRC-OPS-PUBLIC-BJ-001,https://www.beijing.gov.cn/hudong/jpzt/2022ndsjbg/index.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-ops-public-bj-001.html
